Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G071270.0, HORVU.MOREX.r3.2HG0164340.0, 105, 1286

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G097270.0, HORVU.MOREX.r3.2HG0189270.0, 105, 26786

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G100330.0, HORVU.MOREX.r3.2HG0192190.0, 105, 6781

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G099570.0, HORVU.MOREX.r3.2HG0191490.0, 105, 6968

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G063420.0, HORVU.MOREX.r3.2HG0156390.0, 105, 4892

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G002040.0, HORVU.MOREX.r3.2HG0097010.0, 105, 9454

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G110620.0, HORVU.MOREX.r3.2HG0201820.0, 105, 5380

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G089620.0, HORVU.MOREX.r3.2HG0182190.0, 105, 4742

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G086950.0, HORVU.MOREX.r3.2HG0179570.0, 105, 2499

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G118590.0, HORVU.MOREX.r3.2HG0209040.0, 105, 16271
HORVU2Hr1G118590.0, HORVU.MOREX.r3.2HG0209030.0, 105, 15915

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G086020.0, HORVU.MOREX.r3.2HG0178680.0, 105, 6021

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G001810.0, HORVU.MOREX.r3.2HG0096780.0, 105, 4729

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G087580.0, HORVU.MOREX.r3.2HG0180110.0, 105, 4842
HORVU2Hr1G087580.0, HORVU.MOREX.r3.2HG0180100.0, 105, 1424

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G078280.0, HORVU.MOREX.r3.2HG0171500.0, 105, 2998

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G067750.0, HORVU.MOREX.r3.2HG0160560.0, 105, 3152

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G122730.0, HORVU.MOREX.r3.2HG0213280.0, 105, 1497
HORVU2Hr1G122730.0, HORVU.MOREX.r3.2HG0213270.0, 105, 1991
HORVU2Hr1G122730.0, HORVU.MOREX.r3.2HG0213290.0, 105, 2210
HORVU2Hr1G122730.0, HORVU.MOREX.r3.2HG0213250.0, 105, 5117

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G117960.0, HORVU.MOREX.r3.2HG0208500.0, 105, 3007
HORVU2Hr1G117960.0, HORVU.MOREX.r3.2HG0208490.0, 105, 869

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G075230.0, HORVU.MOREX.r3.2HG0168580.0, 105, 1713
HORVU2Hr1G075230.0, HORVU.MOREX.r3.2HG0168570.0, 105, 2884

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G078840.0, HORVU.MOREX.r3.2HG0171980.0, 105, 2258

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G113110.0, HORVU.MOREX.r3.2HG0204040.0, 105, 3441

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G107250.0, HORVU.MOREX.r3.2HG0198490.0, 105, 2450
HORVU2Hr1G107250.0, HORVU.MOREX.r3.2HG0198470.0, 105, 3685

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G101980.0, HORVU.MOREX.r3.2HG0193690.0, 105, 2378
HORVU2Hr1G101980.0, HORVU.MOREX.r3.2HG0193660.0, 105, 1289

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G067290.0, HORVU.MOREX.r3.2HG0160160.0, 105, 7622

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G072500.0, HORVU.MOREX.r3.2HG0165780.0, 105, 12560

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G068490.0, HORVU.MOREX.r3.2HG0161270.0, 105, 464

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
